"","theta","b","lambda","pr","pradj","cr","cradj","type"
"23",0,0,0.1,0.025,0.025,0.000459906243919123,0.000148285797148271,"formula"
"24",0.05,0,0.1,0.051051554499294,0.0847733173441132,0.00418254616529461,0.00264257242351785,"formula"
"25",0.1,0,0.1,0.0951790747077629,0.21553556464206,0.025,0.025,"formula"
"26",0.15,0,0.1,0.162484375756,0.420326582068621,0.0997529077563555,0.1290680008696,"formula"
"27",0.2,0,0.1,0.254923254172124,0.649971637746159,0.272271459875772,0.381458838062036,"formula"
"28",0.25,0,0.1,0.369244528459098,0.834361737463721,0.528319274811148,0.70107839141793,"formula"
"29",0.3,0,0.1,0.496555943046126,0.940365338287326,0.772784643625556,0.912555494236347,"formula"
"30",0.35,0,0.1,0.624222159604315,0.983989557267003,0.922928917371812,0.98558550186691,"formula"
"31",0.4,0,0.1,0.739501903149377,0.996837620708996,0.982225780450131,0.998714990186787,"formula"
"32",0.45,0,0.1,0.833236075416133,0.999544650762731,0.997274164007869,0.999939509419511,"formula"
"33",0.5,0,0.1,0.90186543522957,0.99995250708682,0.999725934998357,0.999998517904378,"formula"
"34",0,0,0.3,0.025,0.025,8.61463981206166e-10,2.03252623243722e-12,"formula"
"35",0.05,0,0.3,0.051051554499294,0.0847733173441132,4.52135222259662e-08,5.11611399869606e-10,"formula"
"36",0.1,0,0.3,0.0951790747077629,0.21553556464206,1.52090129048093e-06,6.58053849847631e-08,"formula"
"37",0.15,0,0.3,0.162484375756,0.420326582068621,3.29013048365972e-05,4.34513613400554e-06,"formula"
"38",0.2,0,0.3,0.254923254172124,0.649971637746159,0.000459906243919124,0.000148285797148272,"formula"
"39",0.25,0,0.3,0.369244528459098,0.834361737463721,0.00418254616529461,0.00264257242351785,"formula"
"40",0.3,0,0.3,0.496555943046126,0.940365338287326,0.0250000000000001,0.0250000000000001,"formula"
"41",0.35,0,0.3,0.624222159604315,0.983989557267003,0.0997529077563556,0.1290680008696,"formula"
"42",0.4,0,0.3,0.739501903149377,0.996837620708996,0.272271459875772,0.381458838062036,"formula"
"43",0.45,0,0.3,0.833236075416133,0.999544650762731,0.528319274811149,0.70107839141793,"formula"
"44",0.5,0,0.3,0.90186543522957,0.99995250708682,0.772784643625556,0.912555494236347,"formula"
"45",0,0.333333333333333,-0.1,0.025,0.025,0.322771035956317,0.381458838062036,"formula"
"46",0.05,0.333333333333333,-0.1,0.051051554499294,0.0847733173441132,0.614105657565129,0.70107839141793,"formula"
"47",0.1,0.333333333333333,-0.1,0.0951790747077629,0.21553556464206,0.850838415795805,0.912555494236347,"formula"
"48",0.15,0.333333333333333,-0.1,0.162484375756,0.420326582068621,0.963275939134559,0.98558550186691,"formula"
"49",0.2,0.333333333333333,-0.1,0.254923254172124,0.649971637746159,0.994457947288659,0.998714990186787,"formula"
"50",0.25,0.333333333333333,-0.1,0.369244528459098,0.834361737463721,0.999499127199768,0.999939509419511,"formula"
"51",0.3,0.333333333333333,-0.1,0.496555943046126,0.940365338287326,0.999973278502994,0.999998517904378,"formula"
"52",0.35,0.333333333333333,-0.1,0.624222159604315,0.983989557267003,0.999999166243097,0.999999981271655,"formula"
"53",0.4,0.333333333333333,-0.1,0.739501903149377,0.996837620708996,0.999999984879528,0.999999999878682,"formula"
"54",0.45,0.333333333333333,-0.1,0.833236075416133,0.999544650762731,0.999999999841304,0.999999999999599,"formula"
"55",0.5,0.333333333333333,-0.1,0.90186543522957,0.99995250708682,0.999999999999039,0.999999999999999,"formula"
"56",0,0.333333333333333,0,0.025,0.025,0.025,0.025,"formula"
"57",0.05,0.333333333333333,0,0.051051554499294,0.0847733173441132,0.113146356526258,0.1290680008696,"formula"
"58",0.1,0.333333333333333,0,0.0951790747077629,0.21553556464206,0.322771035956317,0.381458838062036,"formula"
"59",0.15,0.333333333333333,0,0.162484375756,0.420326582068621,0.614105657565129,0.70107839141793,"formula"
"60",0.2,0.333333333333333,0,0.254923254172124,0.649971637746159,0.850838415795805,0.912555494236347,"formula"
"61",0.25,0.333333333333333,0,0.369244528459098,0.834361737463721,0.963275939134559,0.98558550186691,"formula"
"62",0.3,0.333333333333333,0,0.496555943046126,0.940365338287326,0.994457947288659,0.998714990186787,"formula"
"63",0.35,0.333333333333333,0,0.624222159604315,0.983989557267003,0.999499127199768,0.999939509419511,"formula"
"64",0.4,0.333333333333333,0,0.739501903149377,0.996837620708996,0.999973278502994,0.999998517904378,"formula"
"65",0.45,0.333333333333333,0,0.833236075416133,0.999544650762731,0.999999166243097,0.999999981271655,"formula"
"66",0.5,0.333333333333333,0,0.90186543522957,0.99995250708682,0.999999984879528,0.999999999878682,"formula"
"67",0,0.333333333333333,0.1,0.025,0.025,0.000270123820487828,0.000148285797148271,"formula"
"68",0.05,0.333333333333333,0.1,0.051051554499294,0.0847733173441132,0.00336452572307238,0.00264257242351785,"formula"
"69",0.1,0.333333333333333,0.1,0.0951790747077629,0.21553556464206,0.025,0.025,"formula"
